,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.273496945699056,0.2375936007728149,0.0840133825937907,0.03651619966773513,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",0.5664335664335665,0.5517241379310345,0.5195402298850574,0.5458993114165528,0.019582180779232083,18
1,2.938392400741577,0.7757225188728946,0.22730453809102377,0.0613473173819995,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",0.5638051044083526,0.5613636363636364,0.5257142857142857,0.5502943421620916,0.017409280528621035,17
2,5.297890345255534,0.7490417218984411,0.25972898801167804,0.021090159071148157,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",0.5568445475638051,0.5655644241733181,0.5331833520809899,0.551864107939371,0.013680571177199044,16
3,1.0358712673187256,0.22133967288736314,0.07865325609842937,0.03990244651773096,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",0.5942028985507246,0.5977482088024565,0.5638406537282942,0.5852639203604917,0.015217524351679364,15
4,1.1835076808929443,0.08466128990419233,0.09118207295735677,0.009789348217592676,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",0.6059365404298874,0.6055045871559633,0.5758196721311475,0.5957535999056661,0.014096518560682666,14
5,2.195347785949707,0.38611683550544146,0.1261115868886312,0.043400448364602544,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",0.6139630390143738,0.6194331983805668,0.5864509605662285,0.606615732653723,0.014432467700254544,13
6,0.24267474810282388,0.015129593787727408,0.01947307586669922,0.00030632368157433354,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.6377952755905512,0.6349206349206349,0.6148919135308246,0.6292026080140035,0.010187013700080778,10
7,0.45060547192891437,0.015188928006297286,0.03304044405619303,0.001647898826912834,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.6337702390131071,0.640625,0.6144101346001584,0.629601791204422,0.011100653429213181,6
8,0.9214024543762207,0.006522279454385764,0.05705753962198893,0.0003186623642895714,5,2,200,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.6320681642137878,0.641185647425897,0.6208530805687204,0.6313689640694684,0.008315446645921548,3
9,0.2324995994567871,0.006678212764872684,0.019985437393188477,0.0005449764072188879,5,5,50,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.6374314800313234,0.6357827476038339,0.6152610441767068,0.6294917572706213,0.01008512026123463,8
10,0.4590795834859212,0.02366549228933711,0.031692107518514,4.5355683930803276e-05,5,5,100,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.6332046332046332,0.640625,0.6173428798727129,0.6303908376924486,0.009710899831071249,5
11,0.9169243971506754,0.006586115202172544,0.05742557843526205,0.0009050049634907378,5,5,200,"{'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.635166537567777,0.6395621579358874,0.6208530805687204,0.6318605920241284,0.007987671789945599,1
12,0.33359114329020184,0.01704923345895389,0.02606026331583659,0.0005196309214798914,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.6368613138686131,0.6352313167259787,0.604355716878403,0.6254827824909982,0.014953904701235034,12
13,0.6533207098642985,0.00848050750301343,0.045707384745279946,0.0022320620749391312,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.6380697050938338,0.6384892086330936,0.6115107913669064,0.6293565683646113,0.012620032046808765,9
14,1.3498415152231853,0.010726865392002604,0.09464192390441895,0.01846108457528472,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.6387900355871886,0.6361185983827493,0.6124661246612466,0.6291249195437282,0.01182992615887806,11
15,0.39042043685913086,0.08988600619572079,0.030645291010538738,0.005283561543348761,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.6357969723953696,0.6382222222222222,0.6146953405017921,0.6295715117064613,0.010565535527163605,7
16,1.1840693950653076,0.028832406516959414,0.07842731475830078,0.0023960130825060773,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.6314863676341249,0.6431718061674009,0.6178571428571429,0.6308384388862228,0.01034481845739528,4
17,1.4444543520609539,0.3568280585761387,0.07397929827372234,0.011239048543724662,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.6397188049209139,0.641409691629956,0.6133333333333333,0.6314872766280678,0.012855323600932264,2
